"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","","file:/D:/zu%20untersuchende%20Dateien/Coeff%20Thermal%20Expansion_C12A7.dat","D:\zu untersuchende Dateien\Coeff Thermal Expansion_C12A7.dat","Coeff Thermal Expansion_C12A7.dat","Extension","Done","15553","File","dat","2023-06-02T17:16:10","false","","1","fmt/1730","","Data File","Generic"
"15","","file:/D:/zu%20untersuchende%20Dateien/Data%20set_Air%20travel_Fraunhofer%20ISE.sav","D:\zu untersuchende Dateien\Data set_Air travel_Fraunhofer ISE.sav","Data set_Air travel_Fraunhofer ISE.sav","Signature","Done","1648839","File","sav","2023-06-09T16:52:48","false","","1","fmt/638","","SPSS Data File",""
"18","","file:/D:/zu%20untersuchende%20Dateien/Figure%205.zip","D:\zu untersuchende Dateien\Figure 5.zip","Figure 5.zip","Signature","Done","280366349","Container","zip","2023-06-09T17:03:50","false","","1","x-fmt/263","application/zip","ZIP Format",""
"17","","file:/D:/zu%20untersuchende%20Dateien/Mesh.inp","D:\zu untersuchende Dateien\Mesh.inp","Mesh.inp","","Done","336942989","File","inp","2023-06-02T17:02:32","false","","0","","","",""
"31","","file:/D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z","D:\zu untersuchende Dateien\Raw-data_tribometer.7z","Raw-data_tribometer.7z","Signature","Done","7052011","Container","7z","2023-06-09T17:08:00","false","","1","fmt/484","","7Zip format",""
"3","","file:/D:/zu%20untersuchende%20Dateien/accln_5Wcr_1ep_10tc.mat","D:\zu untersuchende Dateien\accln_5Wcr_1ep_10tc.mat","accln_5Wcr_1ep_10tc.mat","Signature","Done","307025","File","mat","2023-06-02T17:22:14","false","","1","fmt/806","","MATLAB Mat File","Level 5"
"16","","file:/D:/zu%20untersuchende%20Dateien/ebsd.ang","D:\zu untersuchende Dateien\ebsd.ang","ebsd.ang","","Done","136511836","File","ang","2023-06-02T16:55:20","false","","0","","","",""
"4","","file:/D:/zu%20untersuchende%20Dateien/foreground_mask.mat","D:\zu untersuchende Dateien\foreground_mask.mat","foreground_mask.mat","Signature","Done","137664","File","mat","2023-06-09T16:54:14","false","","1","fmt/828","","MATLAB Mat File","Level 7.3"
"5","","file:/D:/zu%20untersuchende%20Dateien/macroscopic_testing.zip","D:\zu untersuchende Dateien\macroscopic_testing.zip","macroscopic_testing.zip","Signature","Done","67241","Container","zip","2023-06-02T16:56:36","false","","1","x-fmt/263","application/zip","ZIP Format",""
"14","","file:/D:/zu%20untersuchende%20Dateien/test_set_properties.npy","D:\zu untersuchende Dateien\test_set_properties.npy","test_set_properties.npy","","Done","480128","File","npy","2023-06-09T16:53:20","false","","0","","","",""
"27","","file:/D:/zu%20untersuchende%20Dateien/training_set_properties.npy","D:\zu untersuchende Dateien\training_set_properties.npy","training_set_properties.npy","","Done","2400128","File","npy","2023-06-09T16:52:30","false","","0","","","",""
"32","","file:/D:/zu%20untersuchende%20Dateien/uniax_simulator_for_microstructure_evolution_40tasks","D:\zu untersuchende Dateien\uniax_simulator_for_microstructure_evolution_40tasks","uniax_simulator_for_microstructure_evolution_40tasks","Signature","Done","1315744","File","","2023-06-02T16:46:42","true","","1","fmt/690","","Executable and Linkable Format","64bit Little Endian"
"6","","file:/D:/zu%20untersuchende%20Dateien/view_data.py","D:\zu untersuchende Dateien\view_data.py","view_data.py","Extension","Done","1567","File","py","2023-06-09T16:54:50","false","","1","fmt/938","","Python Source Code File",""
"26","","file:/D:/zu%20untersuchende%20Dateien/xxxx.feather","D:\zu untersuchende Dateien\xxxx.feather","xxxx.feather","","Done","2076462546","File","feather","2023-06-09T16:42:40","false","","0","","","",""
"75","46","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/2%20min/2min_track1.txt","","2min_track1.txt","Extension","Done","1860457","File","txt","2019-09-13T12:34:24","false","","1","x-fmt/111","text/plain","Plain Text File",""
"97","46","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/2%20min/2min_track2.txt","","2min_track2.txt","Extension","Done","1875185","File","txt","2019-09-13T12:51:44","false","","1","x-fmt/111","text/plain","Plain Text File",""
"128","46","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/2%20min/2min_track3.txt","","2min_track3.txt","Extension","Done","1870094","File","txt","2019-09-13T13:09:04","false","","1","x-fmt/111","text/plain","Plain Text File",""
"158","126","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/30%20s/30s_track1.txt","","30s_track1.txt","Extension","Done","1882165","File","txt","2019-12-05T16:16:32","false","","1","x-fmt/111","text/plain","Plain Text File",""
"176","126","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/30%20s/30s_track2.txt","","30s_track2.txt","Extension","Done","1882493","File","txt","2019-12-05T16:35:46","false","","1","x-fmt/111","text/plain","Plain Text File",""
"200","126","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/30%20s/30s_track3.txt","","30s_track3.txt","Extension","Done","1877402","File","txt","2019-12-05T16:53:42","false","","1","x-fmt/111","text/plain","Plain Text File",""
"220","198","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/4%20min/4min_track1.txt","","4min_track1.txt","Extension","Done","1880187","File","txt","2019-08-09T13:47:46","false","","1","x-fmt/111","text/plain","Plain Text File",""
"234","198","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/4%20min/4min_track2.txt","","4min_track2.txt","Extension","Done","1873228","File","txt","2019-08-09T14:07:30","false","","1","x-fmt/111","text/plain","Plain Text File",""
"255","198","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/4%20min/4min_track3.txt","","4min_track3.txt","Extension","Done","1870549","File","txt","2019-08-09T14:24:46","false","","1","x-fmt/111","text/plain","Plain Text File",""
"277","254","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/5%20s/5s_track1.txt","","5s_track1.txt","Extension","Done","1879120","File","txt","2019-11-19T15:36:32","false","","1","x-fmt/111","text/plain","Plain Text File",""
"293","254","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/5%20s/5s_track2.txt","","5s_track2.txt","Extension","Done","1877679","File","txt","2019-11-19T15:55:04","false","","1","x-fmt/111","text/plain","Plain Text File",""
"315","254","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/5%20s/5s_track3.txt","","5s_track3.txt","Extension","Done","1869146","File","txt","2019-11-19T16:11:44","false","","1","x-fmt/111","text/plain","Plain Text File",""
"329","313","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/6%20min/6min_track1.txt","","6min_track1.txt","Extension","Done","1877315","File","txt","2019-08-16T13:22:56","false","","1","x-fmt/111","text/plain","Plain Text File",""
"345","313","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/6%20min/6min_track2.txt","","6min_track2.txt","Extension","Done","1880197","File","txt","2019-08-16T13:40:04","false","","1","x-fmt/111","text/plain","Plain Text File",""
"366","313","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/6%20min/6min_track3.txt","","6min_track3.txt","Extension","Done","1879273","File","txt","2019-08-16T14:00:02","false","","1","x-fmt/111","text/plain","Plain Text File",""
"386","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS+RM_4min_track1.txt","","VS+RM_4min_track1.txt","Extension","Done","1887937","File","txt","2019-11-26T17:10:06","false","","1","x-fmt/111","text/plain","Plain Text File",""
"402","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS+RM_4min_track2.txt","","VS+RM_4min_track2.txt","Extension","Done","1895038","File","txt","2019-11-26T17:27:40","false","","1","x-fmt/111","text/plain","Plain Text File",""
"420","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS+RM_4min_track3.txt","","VS+RM_4min_track3.txt","Extension","Done","1897234","File","txt","2019-11-26T17:48:16","false","","1","x-fmt/111","text/plain","Plain Text File",""
