item_uuid,bitstream_uuid,sequenceID,file_name,bundle_name,file_format,mime_typefile_size,link
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,241739b9-08e8-4f5a-85d3-d508c408e365,1,Items_gesamt_FB_Juli_2018.xlsx,ORIGINAL,Microsoft Excel XML,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,19711,/rest/bitstreams/241739b9-08e8-4f5a-85d3-d508c408e365/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,a2c1088a-bf34-4178-aa1f-a0550b7ddf4c,2,Items_gesamt_VR_Juli 2018.xlsx,ORIGINAL,Microsoft Excel XML,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,23098,/rest/bitstreams/a2c1088a-bf34-4178-aa1f-a0550b7ddf4c/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,edea8e42-0e19-4817-8424-41b65256ce93,3,Items_gesamt_VR_November_2018.xlsx,ORIGINAL,Microsoft Excel XML,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,25342,/rest/bitstreams/edea8e42-0e19-4817-8424-41b65256ce93/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,0ad903f5-211b-4c10-b881-fe5ffb40608d,4,fordatis83_Lerner.pdf,LICENSE,Adobe PDF,application/pdf,56873,/rest/bitstreams/0ad903f5-211b-4c10-b881-fe5ffb40608d/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,19287264-b9d4-4b47-984b-ef560633d581,5,Items_gesamt_FB_Juli_2018.xlsx.txt,TEXT,Text,text/plain,5070,/rest/bitstreams/19287264-b9d4-4b47-984b-ef560633d581/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,b5383416-bfab-4a3f-9ff2-a6a703c65a0b,6,Items_gesamt_VR_Juli 2018.xlsx.txt,TEXT,Text,text/plain,6835,/rest/bitstreams/b5383416-bfab-4a3f-9ff2-a6a703c65a0b/retrieve
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,402ab836-7ef4-4d05-8a94-eb8c13900e07,7,Items_gesamt_VR_November_2018.xlsx.txt,TEXT,Text,text/plain,8827,/rest/bitstreams/402ab836-7ef4-4d05-8a94-eb8c13900e07/retrieve
d808bd46-0cfe-47b2-8722-35b84bb4a0d2,68f7e15c-3b6c-4151-ab78-ebfede00f4cc,1,Primärdaten_PDI53025_Kontrollgruppe_FB_11-2018.xlsx,ORIGINAL,Microsoft Excel XML,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,25618,/rest/bitstreams/68f7e15c-3b6c-4151-ab78-ebfede00f4cc/retrieve
d808bd46-0cfe-47b2-8722-35b84bb4a0d2,0646fff7-e62e-4c30-ac8e-4ba8784ce45e,2,Primärdaten_PDI53025_Studiengruppe_VR_11-2018.xlsx,ORIGINAL,Microsoft Excel XML,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,31147,/rest/bitstreams/0646fff7-e62e-4c30-ac8e-4ba8784ce45e/retrieve
d808bd46-0cfe-47b2-8722-35b84bb4a0d2,ad9103b3-e6db-46c1-9729-1f1131405c25,3,fordatis87_Lerner.pdf,LICENSE,Adobe PDF,application/pdf,57040,/rest/bitstreams/ad9103b3-e6db-46c1-9729-1f1131405c25/retrieve
