uuid,handle,name,date last modified
8dee156a-b2e6-4bd3-9fad-fe7f068e4a7e,fordatis/83,Virtual-Reality-Simulationstraining in der Notfallsanitäterausbildung,2020-01-15 13:13:18.016
d808bd46-0cfe-47b2-8722-35b84bb4a0d2,fordatis/87,Der Einfluss des Präsenzerlebens auf die Lern- und Trainingseffekte in einer Virtual-Reality Simulationsumgebung,2020-01-15 13:13:18.814
626054dc-5a38-41a3-b54b-ec25ecb08358,fordatis/96,Policy Specification Experiment,2020-01-15 13:13:19.837
2eaf617d-0abe-4e55-ae64-59aa3e81dd67,fordatis/102,SemanGit: A Linked Dataset from git,2020-01-15 13:13:20.616
898d52e5-83c5-4c14-a9c6-3cac9087e11c,fordatis/103,Forschungsdatenmanagement in der Fraunhofer-Gesellschaft,2020-01-17 15:12:54.155
b7e5fd25-12c2-48e1-9c7e-527f91c5d34e,fordatis/106,JERRI Goal setting workshop documentation FhG,2020-01-17 15:22:08.145
73ae2e4e-4bbb-4d39-b56c-f03adfecb9c6,fordatis/114,JERRI Action plan workshop documentation FhG,2020-02-06 12:52:39.287
f6c05f98-f320-4310-93d4-a7055646f849,fordatis/115,JERRI Preliminary comparision of RTOs,2022-01-28 13:34:49.833
cae3d9ee-c865-4376-ac96-83b9342f9238,fordatis/116,JERRI state of the art interviews,2022-01-28 13:34:05.496
1b397a0c-20cd-47d8-aec1-5724d92b22e6,fordatis/118,JERRI Interviews barriers FhG,2020-02-06 12:59:59.241
af183be5-e5a4-48ff-a5fa-79ff58edfe01,fordatis/119,JERRI Goal Setting Documentation TNO,2020-02-06 12:58:59.914
c6b9534d-93b3-4bfd-9f88-b4cfdd02a3dd,fordatis/120,JERRI International interviews,2020-02-06 13:00:44.89
82f15e18-2231-4fad-beef-05cba45634a5,fordatis/121,JERRI Interviews barriers TNO,2020-02-06 12:59:37.611
781ef47e-570e-4862-84ef-40c23b991dd4,fordatis/122,First International Mutual Learning Workshop Documentation,2020-02-06 13:00:22.99
247e3499-a2b4-4eef-96f2-7e3ba2c08d7b,fordatis/123.2,Q-Rapids Evaluation Material,2020-01-15 13:13:30.275
6b345600-88f5-421f-87fb-2ce5c4026b4b,fordatis/124,Chiller System Simulation and Optimization,2020-02-06 12:51:09.551
4bb444d4-b97d-4a40-a0a0-343b36df5b0f,fordatis/130,Digitalpolitik und Engagement,2020-08-14 13:03:35.273
6c3111a2-1467-4702-89e4-50aac1ff7f8b,fordatis/136,"A novel non-invasive, non-conductive method for measuring respiration",2020-02-06 12:50:46.551
00bf678d-7de2-413a-a5d2-b5307fc3fc25,fordatis/138,HoloPort – design and integration of a digital holographic 3-D sensor in machine tools,2020-02-21 09:44:53.072
7d04cae1-381d-49ad-9973-10584e3d9f0b,fordatis/147,Non-planar inside-out dense light-field dataset and reconstruction pipeline,2020-04-04 04:15:29.309
707160e5-20b7-4e4d-a026-a780c3d93cb1,fordatis/146,Miniaturized photoacoustic detection of organofluorine-based refrigerants,2020-03-06 09:06:38.88
36307f0e-ac2d-49a9-87b2-5d5b65fe55e2,fordatis/153,Repräsentative empirische Erhebung zur Investitionsbereitschaft in PV-Batteriesysteme,2020-04-01 04:16:18.485
5cb39cda-4020-47dd-afab-3a0efe86bc40,fordatis/155,Befragung zum individuellen Flugverhalten innerhalb Deutschlands und Europas,2020-09-25 03:30:25.815
0cd48d50-99a4-4dce-86ee-6cc47c8ea11d,fordatis/158,TEDDY: A High-Resolution High Dynamic Range Light-Field Dataset,2020-07-09 16:08:16.983
8c8bd325-2dcc-4d6f-94e8-2b611ce2a71e,fordatis/159,Experimental Characterisation and Simulation of Piezoelectric Titanium Micropumps and Titanium Microvalves,2020-05-21 03:31:05.004
aab77f04-0903-4f44-a6bd-3fcfcc952784,fordatis/171,Open Research Data Pilot - BTDC,2020-10-19 10:25:44.284
be15ce6a-d1a2-4b4b-ae4e-bbf60c753650,fordatis/125.2,Comparison of inline crack detection systems for multicrystalline silicon solar cells,2020-07-16 10:51:48.488
7c25a811-3022-4bd9-b953-a564b1f00eb8,fordatis/168,Digitale Kompetenzen,2020-08-14 13:01:26.117
c65beb34-1a36-434c-9de0-6d135ccb462f,fordatis/169,Plattformen und Privatheit,2020-08-14 12:59:50.518
eda17e15-8ff3-4e0a-8514-7f136c5937fb,fordatis/170,Künstliche Intelligenz (KI),2020-08-14 03:30:36.308
b584b91e-168a-471e-9b53-a773c51c90e8,fordatis/161.2,Twin House Experiment IEA EBC Annex 71 Validation of Building Energy Simulation Tools - Specifications and dataset,2020-07-29 04:17:01.422
944af469-1a45-4a15-98a7-f69e9983f51e,fordatis/178,"Novel Test Bench for Inhaler Characterization Including Real-Time Determination of Output, Output Rate, and Liquid Water Content of Delivered Aerosols",2020-08-27 04:16:20.019
77bafcf2-9cbf-43d7-b55b-4c640c8ec5da,fordatis/92.2,Repräsentative empirische Erhebung zur Investitionsbereitschaft in alternative Antriebe,2020-08-22 04:16:19.344
9a1839b9-81f0-4d04-aff0-2d0873841f3c,fordatis/184,FE-simulated bearing load distributions for different load cases of the IWT7.5 turbine,2020-11-03 03:30:41.429
da595093-a1cb-41dd-9634-84a657ac0096,fordatis/185.2,remUCPS - rate equation model of upconversion dynamics including photonic structure effects,2020-11-10 11:02:04.877
805b5f3f-04c8-4def-a843-9694899b1a2b,fordatis/186,Numerical simulations and infrared camera measurements of temperature distributions in laser powder bed fusion of polymers,2021-03-02 13:49:39.537
29eec76c-80d9-4ccf-a773-999cf13f7de1,fordatis/187,Aero-Elastic Simulation Time Series of IWT7.5 Reference Turbine,2020-12-16 03:30:36.546
